Navn;Stasjon;Tid(norsk normaltid);Høyeste middelvind (døgn)
Sola;SN44560;22.03.2025;14,2
Sola;SN44560;23.03.2025;12,2
Sola;SN44560;24.03.2025;8
Sola;SN44560;25.03.2025;7,5
Sola;SN44560;26.03.2025;7,9
Sola;SN44560;27.03.2025;7,8
Sola;SN44560;28.03.2025;11,3
Sola;SN44560;29.03.2025;7,9
Sola;SN44560;30.03.2025;11,4
Sola;SN44560;31.03.2025;10,7
Sola;SN44560;01.04.2025;5,3
Sola;SN44560;02.04.2025;3,8
Sola;SN44560;03.04.2025;6,1
Sola;SN44560;04.04.2025;6,2
Sola;SN44560;05.04.2025;5,9
Sola;SN44560;06.04.2025;8,2
Sola;SN44560;07.04.2025;7
Sola;SN44560;08.04.2025;7,5
Sola;SN44560;09.04.2025;13,3
Sola;SN44560;10.04.2025;10,2
Sola;SN44560;11.04.2025;7,4
Sola;SN44560;12.04.2025;6,7
Sola;SN44560;13.04.2025;10,5
Sola;SN44560;14.04.2025;8,5
Sola;SN44560;15.04.2025;10,6
Sola;SN44560;16.04.2025;12,6
Sola;SN44560;17.04.2025;10
Sola;SN44560;18.04.2025;10,5
Sola;SN44560;19.04.2025;9,5
Sola;SN44560;20.04.2025;5,4
Sola;SN44560;21.04.2025;5,2
Sola;SN44560;22.04.2025;3,9
Sola;SN44560;23.04.2025;6,9
Sola;SN44560;24.04.2025;9,1
Sola;SN44560;25.04.2025;7,2
Sola;SN44560;26.04.2025;7,7
Sola;SN44560;27.04.2025;8,3
Sola;SN44560;28.04.2025;9
Sola;SN44560;29.04.2025;4,9
Sola;SN44560;30.04.2025;6,1
Sola;SN44560;01.05.2025;10,9
Sola;SN44560;02.05.2025;9,3
Sola;SN44560;03.05.2025;13,2
Sola;SN44560;04.05.2025;12,8
Sola;SN44560;05.05.2025;10,3
Sola;SN44560;06.05.2025;10,4
Sola;SN44560;07.05.2025;9,2
Sola;SN44560;08.05.2025;7,5
Sola;SN44560;09.05.2025;7,7
Sola;SN44560;10.05.2025;6,1
Sola;SN44560;11.05.2025;7,1
Sola;SN44560;12.05.2025;6,8
Sola;SN44560;13.05.2025;9,7
Sola;SN44560;14.05.2025;11,3
Sola;SN44560;15.05.2025;10,6
Sola;SN44560;16.05.2025;9,9
Sola;SN44560;17.05.2025;9
Sola;SN44560;18.05.2025;10
Sola;SN44560;19.05.2025;7,8
Sola;SN44560;20.05.2025;8,6
Sola;SN44560;21.05.2025;18,2
Sola;SN44560;22.05.2025;14,5
Sola;SN44560;23.05.2025;10,4
Sola;SN44560;24.05.2025;8,2
Sola;SN44560;25.05.2025;10,4
Sola;SN44560;26.05.2025;10,1
Sola;SN44560;27.05.2025;11,6
Sola;SN44560;28.05.2025;6,8
Sola;SN44560;29.05.2025;11,2
Sola;SN44560;30.05.2025;13,1
Sola;SN44560;31.05.2025;6,2
Sola;SN44560;01.06.2025;9,7
Sola;SN44560;02.06.2025;9,6
Sola;SN44560;03.06.2025;16,6
Sola;SN44560;04.06.2025;9,8
Sola;SN44560;05.06.2025;9,1
Sola;SN44560;06.06.2025;6,2
Sola;SN44560;07.06.2025;6
Sola;SN44560;08.06.2025;9,7
Sola;SN44560;09.06.2025;8,6
Sola;SN44560;10.06.2025;10,2
Sola;SN44560;11.06.2025;9
Sola;SN44560;12.06.2025;7,3
Sola;SN44560;13.06.2025;13,1
Sola;SN44560;14.06.2025;9,2
Sola;SN44560;15.06.2025;9,6
Sola;SN44560;16.06.2025;8
Sola;SN44560;17.06.2025;8,5
Sola;SN44560;18.06.2025;8,3
Sola;SN44560;19.06.2025;9,3
Sola;SN44560;20.06.2025;7,7
Sola;SN44560;21.06.2025;6,3
Sola;SN44560;22.06.2025;14,4
Sola;SN44560;23.06.2025;8
Sola;SN44560;24.06.2025;9,5
Sola;SN44560;25.06.2025;8,2
Sola;SN44560;26.06.2025;8,3
Sola;SN44560;27.06.2025;8,8
Sola;SN44560;28.06.2025;9,7
Sola;SN44560;29.06.2025;10,7
Sola;SN44560;30.06.2025;8,9
Sola;SN44560;01.07.2025;6,9
Sola;SN44560;02.07.2025;9,8
Sola;SN44560;03.07.2025;10,3
Sola;SN44560;04.07.2025;7,1
Sola;SN44560;05.07.2025;7,3
Sola;SN44560;06.07.2025;5,1
Sola;SN44560;07.07.2025;8,7
Sola;SN44560;08.07.2025;5,2
Sola;SN44560;09.07.2025;4,7
Sola;SN44560;10.07.2025;6,4
Sola;SN44560;11.07.2025;8,2
Sola;SN44560;12.07.2025;6,8
Sola;SN44560;13.07.2025;5,3
Sola;SN44560;14.07.2025;4,9
Sola;SN44560;15.07.2025;5,3
Sola;SN44560;16.07.2025;4,9
Sola;SN44560;17.07.2025;4,8
Sola;SN44560;18.07.2025;5,5
Sola;SN44560;19.07.2025;4,2
Sola;SN44560;20.07.2025;8,8
Sola;SN44560;21.07.2025;8,7
Sola;SN44560;22.07.2025;5,2
Sola;SN44560;23.07.2025;6,4
Sola;SN44560;24.07.2025;7,9
Sola;SN44560;25.07.2025;8,2
Sola;SN44560;26.07.2025;7,5
Sola;SN44560;27.07.2025;6,5
Sola;SN44560;28.07.2025;8,1
Sola;SN44560;29.07.2025;12,5
Sola;SN44560;30.07.2025;8,6
Sola;SN44560;31.07.2025;5,7
Sola;SN44560;01.08.2025;10,6
Sola;SN44560;02.08.2025;10
Sola;SN44560;03.08.2025;9,2
Sola;SN44560;04.08.2025;12,9
Sola;SN44560;05.08.2025;17,6
Sola;SN44560;06.08.2025;13
Sola;SN44560;07.08.2025;9,4
Sola;SN44560;08.08.2025;8,9
